business_id,name,stars,review_count
Pns2l4eNsfO8kk83dixA6A,"Abby Rappoport, LAC, CMQ",5,7
mpf3x-BjTdTEA3yCZrAYPw,The UPS Store,3,15
tUFrWirKiKi_TAnsVWINQQ,Target,3.5,22
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,4,80
mWMc6_wTdE0EUBKIGXDVfA,Perkiomen Valley Brewery,4.5,13
CF33F8-E6oudUQ46HnavjQ,Sonic Drive-In,2,6
n_0UpQx1hsNbnPUSlodU8w,Famous Footwear,2.5,13
qkRM_2X51Yqxk3btlwAQIg,Temple Beth-El,3.5,5
k0hlBqXX-Bt0vf1op7Jr1w,Tsevi's Pub And Grill,3,19
bBDDEgkFA1Otx9Lfe7BZUQ,Sonic Drive-In,1.5,10
UJsufbvfyfONHeWdvAHKjA,Marshalls,3.5,6
eEOYSgkmpB90uNA7lDOMRA,Vietnamese Food Truck,4,10
il_Ro8jwPlHresjw9EGmBg,Denny's,2.5,28
jaxMSoInw8Poo3XeMJt8lQ,Adams Dental,5,10
0bPLkL0QhhPO5kt1_EXmNQ,Zio's Italian Market,4.5,100
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,4,245
rBmpy_Y1UbBx8ggHlyb7hA,Arizona Truck Outfitters,4.5,10
M0XSSHqrASOnhgbWDJIpQA,Herb Import Co,4,5
8wGISYjYkE2tSqn3cDMu8A,Nifty Car Rental,3.5,14
ROeacJQwBeh05Rqg7F6TCg,BAP,4.5,205
WKMJwqnfZKsAae75RMP6jA,Roast Coffeehouse and Wine Bar,4,40
qhDdDeI3K4jy2KyzwFN53w,Barnes & Noble Booksellers,4,38
kfNv-JZpuN6TVNSO6hHdkw,Hibachi Express,4,20
9OG5YkX1g2GReZM0AskizA,Romano's Macaroni Grill,2.5,339
4iRzR7OaS-QaSXuvYxEGKA,Super Dog,4,6
PSo_C1Sfa13JHjzVNW6ziQ,Indian Walk Veterinary Center,5,15
noByYNtDLQAra9ccqxdfDw,H&M,3,24
tMkwHmWFUEXrC9ZduonpTg,The Green Pheasant,4,161
QdN72BWoyFypdGJhhI5r7g,Bar One,4,65
sqSqqLy0sN8n2IZrAbzidQ,Domino's Pizza,3.5,8
fvWn8oXXwbj2l79cochZyw,Altitude Trampoline Park - Boise,5,30
Mjboz24M9NlBeiOJKLEd_Q,DeSandro on Main,3,41
8sshLb4UU7emeUDvtJWnpA,DanceLine,4.5,11
kV_Q1oqis8Qli8dUoGpTyQ,Ardmore Pizza,3.5,109
w_AMNoI1iG9eay7ncmc67w,River 127,3,12
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,3.5,65
2xVsWBNFwZOxIOdd9Mwnww,Cheeseburger In Paradise,2.5,20
mGFsPRHdE6SMV1gYQ6GzgQ,T-Mobile,2,6
LcAozWCMLGjwRbokaJAKMg,Edwardsville Children's Museum,4.5,12
fSCNwMtNNQY9QT69Cj9fiA,Sierra Pro Events,5,7
x1mhq4IpWctQOBM06dU8vg,Diamond Hair Company,1.5,25
ljxNT9p0y7YMPx0fcNBGig,Tony's Restaurant & 3rd Street Cafe,3,94
lwItZ1Ck3KtpCgG4CPFmpQ,Stomel Elliot Attorney-At-Law,5,5
Kq51_lGAgAigqmENITTr-A,Bala Better Health,4,13
mglME3E7esPSpIF5bias8w,Pier 1,2.5,8
wghnIlMb_i5U46HMBGx9ig,China Dragon Restaurant,3,23
JX4tUpd09YFchLBuI43lGw,Naked Cyber Cafe & Espresso Bar,4,12
lk9IwjZXqUMqqOhM774DtQ,Caviar & Bananas,3.5,159
bCBPXIVfVzBZBEpFu29dcg,All In Shipping,5,5
ABxoFuzZy5mqQ8C5FJJajQ,Core de Roma,5,12
Hwt3_mOEmU-t--ywcemnMg,Gold's Gym,3,17
REwfwz-_-CMQ7Np5UVi9Qg,Jennie Deckert,5,7
5BmQX4UVJY19mMtafMg7JA,Breadland Organic Whole Grain Bakery,4,23
cVBxfMC4lp3DnocjYA3FHQ,Paws The Cat Cafe,5,20
0qNpTGTcqPwOLi2hADx4Xw,Charlie's Market,3,9
xM6LoUcnpDpMBzXs_7dXAg,Fairfield Inn & Suites,3,37
txyXRytGjwOXvS8s4sc-WA,Smoothie King,3,29
DQ7PyYlp2bX96WZa7TcaWQ,LensCrafters,2.5,8
uI9XODGY_2_ieTE6xJ0myw,Roman Forum,4,23
JgpnXv_0XhV3SfbfB50nxw,Joe's Pizza,4,35
Si6LXSR9gvAbmgO5DzV2cw,Lafitte's Landing Seafood House,2.5,38
seKihQKpGGnCeLuELRQPSQ,Twin Peaks,3.5,257
L_TT0BFmFwORAMaA83K54A,Village Tap Room,2.5,23
mjWvAkNqoA6Y5P03sDSzfA,Educational Outfitters,2,10
qfWJmJ0g96eM_fWma3ja0g,Doc Magrogan's Oyster House - West Chester,3,114
uczmbBk5O3tYhGue13dCDg,New Orleans Spirit Tours,4,38
n7AQvGvNHlmun3kqXeBKVQ,Roy's Appliance Service,5,5
eYxGFkxo6m3SYGVTh5m2nQ,Big Boyz Toyz Motorcycle Rentals,4.5,8
lOP3HxdUTaq0eXhwR_KC-w,Sweet Things Chocolates,4,13
KWA2qtdwVEkMpd5soSKaGA,Publix Super Market,3.5,7
gbN4RuUiiBxQ2GBFQ2p3Cw,Mr. Margarita,5,7
B2qqjCl_BNNnXvWWfpFiLA,Pottery Barn Kids,1.5,13
7PDi_iyik3jraDAzWwwR4Q,Chase JP Morgan Bank Credit Card Services,1.5,111
8rb-3VYXE37IZix4yOdskw,Sharky's Sports Bar & Grill,2.5,29
9Rww8yE6Dm4dSMEq09nwXg,Holly Nails & Spa,4.5,16
aCDY7vXYMs54EbYuQScsnQ,39 North Taproom & Grill,4.5,25
-4dYswJy7SPcbcERvitmIg,Pathmark,2.5,34
mFTaYsRDyeFaY2NDLfSaAA,River City Games,4.5,5
x9K0RfZaT_zlw6DklBDzjw,Gavi Italian Restaurant,3.5,9
pJfh3Ct8iL58NZa8ta-a5w,Top Shelf Sports Lounge,4.5,95
cvP_vh_bOLbCY3eoY1Xw-A,Fishers Freedom Festival,4.5,7
7clCBgNbd-x2Wj96lZ6Mjw,Bier Brewery and Tap Room,4.5,139
ppFCk9aQkM338Rgwpl2F5A,Wawa,3,56
NZ_bFJma7brQUfln5h1UAg,Super Sushi Kyo Hin,3.5,6
eMjnw_7wp-CscyNh6Lu0ZA,AM&PM Locksmith,4.5,58
IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,4,389
sE6jSnvMts_MAn-b4OkMAw,K-9 Groom Room,4,5
YNjyv0gfOr2g8lbmUpTnKg,Copper Vine,4.5,350
LhpPSrulqVeTyJeK2xydvQ,Fresh Fruits & Salads,4.5,6
oaboaRBUgGjbo2kfUIKDLQ,Mike's Ice Cream,4.5,593
